Date,Open,High,Low,Close,Adj Close,Volume
2019-08-16,1524.59997558594,1524.59997558594,1504.69995117188,1512.5,1512.5,1815
2019-08-19,1507.19995117188,1507.59997558594,1492.90002441406,1500.40002441406,1500.40002441406,205
2019-08-20,1497.5,1506.09997558594,1497.5,1504.59997558594,1504.59997558594,486
2019-08-21,1504.90002441406,1505,1498.80004882812,1504.59997558594,1504.59997558594,350
2019-08-22,1495.09997558594,1497.30004882812,1493.80004882812,1497.30004882812,1497.30004882812,686
2019-08-23,1493.5,1527.59997558594,1493.5,1526.59997558594,1526.59997558594,983
2019-08-26,1543.19995117188,1543.30004882812,1524.30004882812,1526.30004882812,1526.30004882812,334
2019-08-27,1530.5,1542.09997558594,1528.5,1541,1541,166
2019-08-28,1538.09997558594,1538.09997558594,1537.80004882812,1537.80004882812,1537.80004882812,2756
2019-08-29,1537.5,1549.30004882812,1519.59997558594,1526.5,1526.5,704
2019-08-30,1524.59997558594,1530.40002441406,1516.69995117188,1519.09997558594,1519.09997558594,276
2019-09-03,1522.90002441406,1547.30004882812,1521,1545.90002441406,1545.90002441406,139
2019-09-04,1549,1553.19995117188,1534.80004882812,1550.30004882812,1550.30004882812,46
2019-09-05,1551,1551.09997558594,1511.09997558594,1515.40002441406,1515.40002441406,125
2019-09-06,1517.30004882812,1526,1504.5,1506.19995117188,1506.19995117188,54
2019-09-09,1509,1513,1498,1502.19995117188,1502.19995117188,69
2019-09-10,1498.5,1498.5,1486.90002441406,1490.30004882812,1490.30004882812,23
2019-09-11,1491.69995117188,1496.59997558594,1490.19995117188,1494.40002441406,1494.40002441406,8
2019-09-12,1499.5,1515.40002441406,1498.69995117188,1498.69995117188,1498.69995117188,27
2019-09-13,1490.90002441406,1490.90002441406,1486.90002441406,1490.90002441406,1490.90002441406,1
2019-09-16,1506.59997558594,1506.80004882812,1496.90002441406,1503.09997558594,1503.09997558594,21
2019-09-17,1497.90002441406,1505.09997558594,1497.90002441406,1505.09997558594,1505.09997558594,3
2019-09-18,1508.90002441406,1509.40002441406,1489.30004882812,1507.5,1507.5,8
2019-09-19,1496.09997558594,1502.40002441406,1496.09997558594,1498.40002441406,1498.40002441406,10
2019-09-20,1503,1507.30004882812,1503,1507.30004882812,1507.30004882812,2
2019-09-23,1515.5,1523.69995117188,1515.5,1523.69995117188,1523.69995117188,5
2019-09-24,1515.09997558594,1533,1515.09997558594,1532.09997558594,1532.09997558594,25
2019-09-25,1527.59997558594,1527.90002441406,1504.59997558594,1504.59997558594,1504.59997558594,25
2019-09-26,1507.5,1507.5,1507.5,1507.5,1507.5,8178
2019-09-27,1504.19995117188,1506.09997558594,1485.59997558594,1499.09997558594,1499.09997558594,7827
2019-09-30,1495.90002441406,1495.90002441406,1463.5,1465.69995117188,1465.69995117188,1078
2019-10-01,1468.69995117188,1485.5,1458.30004882812,1482,1482,219
2019-10-02,1476.59997558594,1503.69995117188,1474.09997558594,1501,1501,205
2019-10-03,1497.40002441406,1518.19995117188,1496.59997558594,1507.09997558594,1507.09997558594,1213
2019-10-04,1505.59997558594,1508.69995117188,1497.09997558594,1506.19995117188,1506.19995117188,233
2019-10-07,1504.80004882812,1505.80004882812,1489.09997558594,1497.69995117188,1497.69995117188,121
2019-10-08,1489.40002441406,1506.30004882812,1489.30004882812,1497.19995117188,1497.19995117188,46
2019-10-09,1507.69995117188,1507.69995117188,1498.40002441406,1506.09997558594,1506.09997558594,120
2019-10-10,1511.19995117188,1511.19995117188,1490.59997558594,1494.80004882812,1494.80004882812,78
2019-10-11,1491.90002441406,1494.90002441406,1476.90002441406,1482.69995117188,1482.69995117188,57
2019-10-14,1484.40002441406,1493.5,1481.30004882812,1491.69995117188,1491.69995117188,400
2019-10-15,1488.90002441406,1495.40002441406,1476.59997558594,1477.59997558594,1477.59997558594,367
2019-10-16,1482,1488,1480,1488,1488,383
2019-10-17,1486.19995117188,1493.19995117188,1485.80004882812,1492.30004882812,1492.30004882812,271
2019-10-18,1487.30004882812,1489.09997558594,1486.59997558594,1488.19995117188,1488.19995117188,82
2019-10-21,1489.90002441406,1489.90002441406,1481.5,1482.40002441406,1482.40002441406,72
2019-10-22,1483.40002441406,1483.5,1481.69995117188,1481.69995117188,1481.69995117188,99
2019-10-23,1486.40002441406,1490.30004882812,1486.40002441406,1489.90002441406,1489.90002441406,67
2019-10-24,1490.5,1501.19995117188,1485.90002441406,1498.90002441406,1498.90002441406,115
2019-10-25,1501.40002441406,1514.30004882812,1499,1499.5,1499.5,93
2019-10-28,1504.09997558594,1504.09997558594,1490,1490,1490,37
2019-10-29,1485.90002441406,1487,1485.90002441406,1487,1487,425
2019-10-30,1487.19995117188,1495.40002441406,1481,1493.19995117188,1493.19995117188,320
2019-10-31,1496.09997558594,1513.09997558594,1496.09997558594,1511.40002441406,1511.40002441406,210
2019-11-01,1511,1511.59997558594,1503,1508,1508,235
2019-11-04,1511.59997558594,1511.59997558594,1508,1508,1508,101
2019-11-05,1507.09997558594,1507.09997558594,1480.80004882812,1480.80004882812,1480.80004882812,31
2019-11-06,1483.19995117188,1491,1483.19995117188,1490.19995117188,1490.19995117188,567
2019-11-07,1489.09997558594,1489.09997558594,1464.19995117188,1464.19995117188,1464.19995117188,581
2019-11-08,1469.09997558594,1469.09997558594,1461.30004882812,1461.30004882812,1461.30004882812,21
2019-11-11,1461,1461,1449.30004882812,1455.5,1455.5,22
2019-11-12,1454.90002441406,1454.90002441406,1447.09997558594,1452.09997558594,1452.09997558594,6
2019-11-13,1456.80004882812,1463.30004882812,1456.80004882812,1461.69995117188,1461.69995117188,56
2019-11-14,1463.80004882812,1471.80004882812,1463.69995117188,1471.80004882812,1471.80004882812,83
2019-11-15,1469.09997558594,1469.09997558594,1467.30004882812,1467.30004882812,1467.30004882812,13
2019-11-18,1472,1472,1469.69995117188,1470.90002441406,1470.90002441406,141
2019-11-19,1467.69995117188,1474.30004882812,1467.69995117188,1473.30004882812,1473.30004882812,18
2019-11-20,1472.59997558594,1474.5,1467.30004882812,1473.30004882812,1473.30004882812,31
2019-11-21,1463.09997558594,1463.09997558594,1463.09997558594,1463.09997558594,1463.09997558594,16
2019-11-22,1468.59997558594,1468.59997558594,1463.09997558594,1463.09997558594,1463.09997558594,19
2019-11-25,1457.09997558594,1457.09997558594,1455.5,1456.59997558594,1456.59997558594,14
2019-11-26,1459.80004882812,1459.80004882812,1459.80004882812,1459.80004882812,1459.80004882812,346362
2019-11-27,1461.09997558594,1461.90002441406,1452,1453.40002441406,1453.40002441406,88364
2019-11-29,1453.59997558594,1465.59997558594,1452.09997558594,1465.59997558594,1465.59997558594,7020
2019-12-02,1462.80004882812,1464.40002441406,1453.30004882812,1462.30004882812,1462.30004882812,2172
2019-12-03,1461.59997558594,1480.40002441406,1459.5,1478.19995117188,1478.19995117188,1460
2019-12-04,1477.5,1483.40002441406,1471.19995117188,1474,1474,613
2019-12-05,1474.69995117188,1478,1472.30004882812,1476.90002441406,1476.90002441406,907
2019-12-06,1475,1476,1458.19995117188,1459.09997558594,1459.09997558594,899
2019-12-09,1458.80004882812,1464.19995117188,1458.59997558594,1459.30004882812,1459.30004882812,1461
2019-12-10,1460.69995117188,1467.19995117188,1460.69995117188,1462.59997558594,1462.59997558594,367
2019-12-11,1463.09997558594,1475.40002441406,1463.09997558594,1469.40002441406,1469.40002441406,393
2019-12-12,1475.09997558594,1483.90002441406,1463.69995117188,1466.69995117188,1466.69995117188,955
2019-12-13,1463.09997558594,1475.90002441406,1463.09997558594,1475.59997558594,1475.59997558594,468
2019-12-16,1473.80004882812,1475.30004882812,1473.80004882812,1475,1475,99
2019-12-17,1474.09997558594,1476.90002441406,1474,1474.59997558594,1474.59997558594,410
2019-12-18,1472.59997558594,1472.59997558594,1472.59997558594,1472.59997558594,1472.59997558594,250
2019-12-19,1475.90002441406,1478.90002441406,1473.30004882812,1478.19995117188,1478.19995117188,319
2019-12-20,1476.69995117188,1478.09997558594,1474.69995117188,1474.69995117188,1474.69995117188,118
2019-12-23,1482.30004882812,1482.5,1479.90002441406,1482.5,1482.5,391
2019-12-24,1488.69995117188,1499.09997558594,1488.69995117188,1499.09997558594,1499.09997558594,52
2019-12-26,1505.19995117188,1512.30004882812,1505,1509.30004882812,1509.30004882812,126
2019-12-27,1513.80004882812,1513.80004882812,1513.80004882812,1513.80004882812,1513.80004882812,839
2019-12-30,1512.59997558594,1515.09997558594,1510,1514.5,1514.5,446
2019-12-31,1513.80004882812,1523.40002441406,1513.80004882812,1519.5,1519.5,301
