"","date","value"
"190",2014-11-04,51.16
"191",2014-11-05,51.16
"192",2014-11-06,52.240002
"193",2014-11-07,52.849998
"194",2014-11-08,52.849998
"195",2014-11-09,52.849998
"196",2014-11-10,52.599998
"197",2014-11-11,52.959999
"198",2014-11-12,52.970001
"199",2014-11-13,53.700001
"200",2014-11-14,53.82
"201",2014-11-15,53.82
"202",2014-11-16,53.82
"203",2014-11-17,53.470001
"204",2014-11-18,53.900002
"205",2014-11-19,53.57
"206",2014-11-20,53.57
"207",2014-11-21,52.77
"208",2014-11-22,52.77
"209",2014-11-23,52.77
"210",2014-11-24,53.5
"211",2014-11-25,53.130001
"212",2014-11-26,52.529999
"213",2014-11-27,52.689999
"214",2014-11-28,53.950001
"215",2014-11-29,53.950001
"216",2014-11-30,53.950001
"217",2014-12-01,53.200001
"218",2014-12-02,53.759998
"219",2014-12-03,53.700001
"220",2014-12-04,54.110001
"221",2014-12-05,54.700001
"222",2014-12-06,54.700001
"223",2014-12-07,54.700001
"224",2014-12-08,54.720001
"225",2014-12-09,54.139999
"226",2014-12-10,54.27
"227",2014-12-11,54.709999
"228",2014-12-12,54.689999
"229",2014-12-13,54.689999
"230",2014-12-14,54.689999
"231",2014-12-15,54.400002
"232",2014-12-16,55.43
"233",2014-12-17,54.700001
"234",2014-12-18,54.98
"235",2014-12-19,55.849998
"236",2014-12-20,55.849998
"237",2014-12-21,55.849998
"238",2014-12-22,54.57
"239",2014-12-23,57.330002
"240",2014-12-24,57.330002
"241",2014-12-25,57.330002
"242",2014-12-26,56.549999
"243",2014-12-27,56.549999
"244",2014-12-28,56.549999
"245",2014-12-29,57.25
"246",2014-12-30,55.389999
"247",2014-12-31,55.389999
"248",2015-01-01,55.389999
"249",2015-01-02,55.799999
"250",2015-01-03,55.799999
"251",2015-01-04,55.799999
"252",2015-01-05,55.75
"253",2015-01-06,54.849998
"254",2015-01-07,55.169998
"255",2015-01-08,55.799999
"256",2015-01-09,54.75
"257",2015-01-10,54.75
"258",2015-01-11,54.75
"259",2015-01-12,54.849998
"260",2015-01-13,54
"261",2015-01-14,53.099998
"262",2015-01-15,53.57
"263",2015-01-16,53.450001
"264",2015-01-17,53.450001
"265",2015-01-18,53.450001
"266",2015-01-19,53.82
"267",2015-01-20,53.32
"268",2015-01-21,53.580002
"269",2015-01-22,53.400002
"270",2015-01-23,53.93
"271",2015-01-24,53.93
"272",2015-01-25,53.93
"273",2015-01-26,53.799999
"274",2015-01-27,53.139999
"275",2015-01-28,53.200001
"276",2015-01-29,53.360001
"277",2015-01-30,54.700001
"278",2015-01-31,54.700001
"279",2015-02-01,54.700001
"280",2015-02-02,54.330002
"281",2015-02-03,55.720001
"282",2015-02-04,57.029999
"283",2015-02-05,57.34
"284",2015-02-06,58.16
"285",2015-02-07,58.16
"286",2015-02-08,58.16
"287",2015-02-09,57.799999
"288",2015-02-10,59.220001
"289",2015-02-11,60.23
"290",2015-02-12,59.779999
"291",2015-02-13,60.110001
"292",2015-02-14,60.110001
"293",2015-02-15,60.110001
"294",2015-02-16,60.110001
"295",2015-02-17,60.110001
"296",2015-02-18,60.330002
"297",2015-02-19,61.189999
"298",2015-02-20,61.540001
"299",2015-02-21,61.540001
"300",2015-02-22,61.540001
"301",2015-02-23,61.400002
"302",2015-02-24,60.990002
"303",2015-02-25,61.740002
"304",2015-02-26,61.849998
"305",2015-02-27,61.049999
"306",2015-02-28,61.049999
"307",2015-03-01,61.049999
"308",2015-03-02,62.23
"309",2015-03-03,62.540001
"310",2015-03-04,63.639999
"311",2015-03-05,64.440002
"312",2015-03-06,64.360001
"313",2015-03-07,64.360001
"314",2015-03-08,64.360001
"315",2015-03-09,66.269997
"316",2015-03-10,64.800003
"317",2015-03-11,64.839996
"318",2015-03-12,66.370003
"319",2015-03-13,67.739998
"320",2015-03-14,67.739998
"321",2015-03-15,67.739998
"322",2015-03-16,68.709999
"323",2015-03-17,68.690002
"324",2015-03-18,68.349998
"325",2015-03-19,70.199997
"326",2015-03-20,69.419998
"327",2015-03-21,69.419998
"328",2015-03-22,69.419998
"329",2015-03-23,67.349998
"330",2015-03-24,66.550003
"331",2015-03-25,66.860001
"332",2015-03-26,66.75
"333",2015-03-27,67.779999
"334",2015-03-28,67.779999
"335",2015-03-29,67.779999
"336",2015-03-30,68.480003
"337",2015-03-31,66.940002
"338",2015-04-01,66.449997
"339",2015-04-02,65.690002
"340",2015-04-03,65.690002
"341",2015-04-04,65.690002
"342",2015-04-05,65.690002
"343",2015-04-06,66.050003
"344",2015-04-07,66.169998
"345",2015-04-08,64.669998
"346",2015-04-09,65
"347",2015-04-10,65.769997
"348",2015-04-11,65.769997
"349",2015-04-12,65.769997
"350",2015-04-13,66.5
"351",2015-04-14,65.279999
"352",2015-04-15,65.809998
"353",2015-04-16,64.639999
"354",2015-04-17,64.339996
"355",2015-04-18,64.339996
"356",2015-04-19,64.339996
"357",2015-04-20,64.790001
"358",2015-04-21,64.790001
"359",2015-04-22,64.5
"360",2015-04-23,64.080002
"361",2015-04-24,63.779999
"362",2015-04-25,63.779999
"363",2015-04-26,63.779999
"364",2015-04-27,62.709999
"365",2015-04-28,63.23
"366",2015-04-29,63.490002
"367",2015-04-30,63.91
"368",2015-05-01,63.91
"369",2015-05-02,63.91
"370",2015-05-03,63.91
"371",2015-05-04,66.330002
"372",2015-05-05,65.209999
"373",2015-05-06,64.5
"374",2015-05-07,64.349998
"375",2015-05-08,64.18
"376",2015-05-09,64.18
"377",2015-05-10,64.18
"378",2015-05-11,65.449997
"379",2015-05-12,64.529999
"380",2015-05-13,64.940002
"381",2015-05-14,64.699997
"382",2015-05-15,64.790001
"383",2015-05-16,64.790001
"384",2015-05-17,64.790001
"385",2015-05-18,65.410004
"386",2015-05-19,66
"387",2015-05-20,65.120003
"388",2015-05-21,66.099998
"389",2015-05-22,67.160004
"390",2015-05-23,67.160004
"391",2015-05-24,67.160004
"392",2015-05-25,67.510002
"393",2015-05-26,67.540001
"394",2015-05-27,68.190002
"395",2015-05-28,68.379997
"396",2015-05-29,68.489998
"397",2015-05-30,68.489998
"398",2015-05-31,68.489998
"399",2015-06-01,68.209999
"400",2015-06-02,67.5
"401",2015-06-03,67.639999
"402",2015-06-04,67.639999
"403",2015-06-05,67.339996
"404",2015-06-06,67.339996
"405",2015-06-07,67.339996
"406",2015-06-08,65.989998
"407",2015-06-09,65.760002
"408",2015-06-10,66.919998
"409",2015-06-11,66.699997
"410",2015-06-12,66.730003
"411",2015-06-13,66.730003
"412",2015-06-14,66.730003
"413",2015-06-15,66.620003
"414",2015-06-16,66.279999
"415",2015-06-17,65.620003
"416",2015-06-18,66.18
"417",2015-06-19,66.900002
"418",2015-06-20,66.900002
"419",2015-06-21,66.900002
"420",2015-06-22,66.870003
"421",2015-06-23,66.650002
"422",2015-06-24,66.559998
"423",2015-06-25,66.660004
"424",2015-06-26,67.099998
"425",2015-06-27,67.099998
"426",2015-06-28,67.099998
"427",2015-06-29,65.510002
"428",2015-06-30,65.5
"429",2015-07-01,66.699997
"430",2015-07-02,65.580002
"431",2015-07-03,66.900002
"432",2015-07-04,66.900002
"433",2015-07-05,66.900002
"434",2015-07-06,66.389999
"435",2015-07-07,67.629997
"436",2015-07-08,67.599998
"437",2015-07-09,67.599998
"438",2015-07-10,67.110001
"439",2015-07-11,67.110001
"440",2015-07-12,67.110001
"441",2015-07-13,66.529999
"442",2015-07-14,67.599998
"443",2015-07-15,67.440002
"444",2015-07-16,68.25
"445",2015-07-17,69.300003
"446",2015-07-18,69.300003
"447",2015-07-19,69.300003
"448",2015-07-20,68.400002
"449",2015-07-21,68.629997
"450",2015-07-22,69.599998
"451",2015-07-23,70.599998
"452",2015-07-24,71
"453",2015-07-25,71
"454",2015-07-26,71
"455",2015-07-27,70.900002
"456",2015-07-28,72.040001
"457",2015-07-29,71.599998
"458",2015-07-30,72.599998
"459",2015-07-31,73.459999
"460",2015-08-01,73.459999
"461",2015-08-02,73.459999
"462",2015-08-03,73.68
"463",2015-08-04,73.910004
"464",2015-08-05,74.739998
"465",2015-08-06,75.330002
"466",2015-08-07,74.480003
"467",2015-08-08,74.480003
"468",2015-08-09,74.480003
"469",2015-08-10,73.879997
"470",2015-08-11,74.5
"471",2015-08-12,74.07
"472",2015-08-13,74.900002
"473",2015-08-14,74.519997
"474",2015-08-15,74.519997
"475",2015-08-16,74.519997
"476",2015-08-17,74.839996
"477",2015-08-18,74.199997
"478",2015-08-19,74.239998
"479",2015-08-20,72.269997
"480",2015-08-21,70.669998
"481",2015-08-22,70.669998
"482",2015-08-23,70.669998
"483",2015-08-24,69
"484",2015-08-25,70
"485",2015-08-26,71.629997
"486",2015-08-27,72.309998
"487",2015-08-28,72.879997
"488",2015-08-29,72.879997
"489",2015-08-30,72.879997
"490",2015-08-31,73.099998
"491",2015-09-01,72.139999
"492",2015-09-02,74.879997
"493",2015-09-03,75
"494",2015-09-04,76.209999
"495",2015-09-05,76.209999
"496",2015-09-06,76.209999
"497",2015-09-07,76.209999
"498",2015-09-08,76.93
"499",2015-09-09,75.540001
"500",2015-09-10,77.5
"501",2015-09-11,77.730003
"502",2015-09-12,77.730003
"503",2015-09-13,77.730003
"504",2015-09-14,76.269997
"505",2015-09-15,78.43
"506",2015-09-16,78.330002
"507",2015-09-17,79.120003
"508",2015-09-18,79.150002
"509",2015-09-19,79.150002
