pe,fim,stock
0.9823533579199953,0.011943188977714465,BTC
0.9848224650445252,0.010368219771698918,BTC
0.9793009647540882,0.013311926926020597,BTC
0.9748822449531982,0.0164587497991895,BTC
0.9806650920837542,0.012267476117950954,BTC
0.9801388645065877,0.012252635420833522,BTC
0.971527056784771,0.01819660901588918,BTC
0.9759764934095385,0.01544599425271512,BTC
0.9643193923274027,0.022871474909207056,BTC
0.9767083247162354,0.01538507106077151,BTC
0.9753773010935758,0.015279159432213748,BTC
0.9758684488491898,0.01585223434587174,BTC
0.9774641029552196,0.014800214042867882,BTC
0.9801700601814054,0.012889406674696319,BTC
0.980127643858859,0.014400173151682719,BTC
0.9794565100481306,0.01197377021768847,BTC
0.981286846230056,0.011827407922531539,BTC
0.9798153088667758,0.013678361019229415,BTC
0.9667497181107341,0.020364460398884704,BTC
0.9802879173853203,0.01267485334505013,BTC
0.9692240212340326,0.019668290457157362,BTC
0.9736897672368963,0.017292356016139328,BTC
0.9822160280825221,0.011742727684660174,BTC
0.9803435856527436,0.01305809240099497,BTC
0.9745506890529012,0.017040810336017353,BTC
0.9789825687470387,0.012405547325129699,BTC
0.975130868920164,0.015246196823141232,BTC
0.9854412398058549,0.009972023884409225,BTC
0.9763501543647676,0.014140143568938047,BTC
0.9779579303102257,0.01459040379279087,BTC
0.9775127714831141,0.014105283893848894,BTC
0.9771105276683597,0.015461003444199968,BTC
0.9740565347104857,0.016780771820314566,BTC
0.9780112387187824,0.013648681205769023,BTC
0.971628933617892,0.018499727650502763,BTC
0.9876515927054851,0.007200632591115731,BTC
0.9788358913254743,0.014770358348971887,BTC
0.9841310200522544,0.010696868657369603,BTC
0.9844803927519646,0.009753704356054414,BTC
0.9753944778711224,0.01683417623429824,BTC
0.9774115203039963,0.01489973995176802,BTC
0.9780876937713288,0.014529648284123004,BTC
0.9714021002321742,0.018471682598948387,BTC
0.9859572963354815,0.009463068004487657,BTC
0.9756914370668923,0.016644593327370907,BTC
0.9781693652433852,0.013845744196190321,BTC
0.9748067232185718,0.016125412667903325,BTC
0.9748200612482696,0.015541891119346661,BTC
0.9783567538541432,0.013691314324224498,BTC
0.9790184833615944,0.013508086582456585,BTC
0.9813668270878423,0.011779520189281207,BTC
0.9822257421555062,0.010267560522513063,BTC
0.9713604687851705,0.018689067634227532,BTC
0.9826947505963961,0.011585172545899695,BTC
0.9644679003750051,0.022326263931268804,BTC
0.9814556278337723,0.011290697075822545,BTC
0.976824807338104,0.015171026047465102,BTC
0.9743199700390495,0.01643205236905201,BTC
0.9720760712064184,0.017305024870851705,BTC
0.9844004670579845,0.011779273892224846,BTC
0.9620600016860428,0.024306710537915936,BTC
0.9786268930238703,0.014140763148414906,BTC
0.9684912114450642,0.02008287137079133,BTC
0.9775423020183844,0.014952753389777652,BTC
0.9772506060483399,0.015033556013393876,BTC
0.9754395297953734,0.015690119241482024,BTC
0.9796981653025439,0.01462403604082593,BTC
0.9793240773582002,0.013206733307417201,BTC
0.9825807259271045,0.010938976423057129,BTC
0.9758833727975503,0.016088722863727083,BTC
0.9847860641007512,0.010671750013489023,BTC
0.9858408728016519,0.009660987521449413,BTC
0.9725317806863465,0.0187375054143115,BTC
0.9799900848573216,0.013215331520615027,BTC
0.9697814408774869,0.01904523012604979,BTC
0.9854236178164193,0.009124291340601567,BTC
0.9765247719237446,0.014730765784806575,BTC
0.9790563424415847,0.013700343313439372,BTC
0.9793477148026462,0.014654621428797499,BTC
0.979356611487088,0.012992959473147683,BTC
0.9791272321997594,0.01395326131253817,BTC
0.9766163506748828,0.014795538367885747,BTC
0.9874867519719736,0.006828104712894561,BTC
0.9887770102951648,0.007582337673093074,BTC
0.9702410783479106,0.01904570545796748,BTC
0.9673336435154969,0.020000906801198606,BTC
0.9719987934124349,0.01815085193851671,BTC
0.9783332526480363,0.013142869187886118,BTC
0.9785132218919862,0.013925114435347205,BTC
0.9825407952645067,0.011678851854361356,BTC
0.9783357339405109,0.014511494732663579,BTC
0.9835860295093263,0.010531355408483264,BTC
0.9759997831638361,0.01627938786189688,BTC
0.9680319206574052,0.02008279000038456,BTC
0.9803620242785328,0.012637395483142404,BTC
0.9803775273475153,0.0129539589454069,BTC
0.9789347624595486,0.014089841829687864,BTC
0.9805382946870315,0.012534430253521158,BTC
0.9707955559539453,0.019711244533924525,BTC
0.968458534743807,0.019294286783879584,BTC
0.9743894600984534,0.014333500720204628,BNB
0.9658811287308382,0.019400435972998755,BNB
0.9775727742278478,0.01471057717404917,BNB
0.9744439271626988,0.01606405454329317,BNB
