,IBTC,IBOVESPA,IMA-B,SCBTG,S&P 500
Mean,34.02081627210884,127376.80272108843,9875.46084602721,7.855714285714286,285.7742180816327
Median,36.209999,127668.0,9886.252229,7.91,288.290009
Standard Deviation,5.842908680803125,2017.5623725345954,38.76511435206717,0.2591115117284527,12.974041732565242
Kurtosis,-1.0172776260651593,0.8240942329896561,-0.2770808927941548,-0.41714559611594915,-0.4368381318723622
Skewness,-0.6936905131393687,-0.805890693663089,-0.6165237100922017,-0.5060570587828281,-0.24940284480254932
Fishers Information,0.06083052090748358,0.09875476670978116,0.0936620388992386,0.09846319089081688,0.10024832799096414
MIEE,0.18397892290917786,0.23795406789787693,0.22766014425420583,0.23534604630462685,0.29682629674700967
Permutation Entropy,0.8768515979983056,0.8608006988119042,0.8660018946450329,0.86311714458619,0.8034220312439545
